Alteration	A2780_OVARY	OVCAR4_OVARY	CAOV3_OVARY	TOV112D_OVARY	HS571T_OVARY	IGROV1_OVARY	OVCAR8_OVARY	TOV21G_OVARY	RMUGS_OVARY	COV362_OVARY	SKOV3_OVARY	SNU8_OVARY	OELE_OVARY	ONCODG1_OVARY	ES2_OVARY	OVKATE_OVARY	OVISE_OVARY	OVMANA_OVARY	NIHOVCAR3_OVARY	OV56_OVARY	JHOS4_OVARY	COV504_OVARY	COV318_OVARY	JHOS2_OVARY	COLO704_OVARY	MCAS_OVARY	FUOV1_OVARY	OVTOKO_OVARY	OV90_OVARY	HEYA8_OVARY	TYKNU_OVARY	EFO21_OVARY	RMGI_OVARY	EFO27_OVARY	OVSAHO_OVARY	KURAMOCHI_OVARY	CAOV4_OVARY	OAW42_OVARY	OV7_OVARY	COV434_OVARY	59M_OVARY	COV644_OVARY	OC316_OVARY	OC314_OVARY	JHOC5_OVARY	JHOM1_OVARY	SNU119_OVARY	SNU840_OVARY	OVK18_OVARY	JHOM2B_OVARY	OAW28_OVARY
DDX11L1	2	-2	-1	0	0	-1	1	-2	0	2	-1	-1	0	1	0	0	1	1	0	-1	1	-1	-1	0	2	2	2	-1	0	1	1	-1	0	-1	0	-1	-1	2	0	2	1	0	-2	-1	0	1	1	0	-2	1	-1
FAM138A	2	-2	-1	0	0	-1	-2	-2	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-2	1	-1	-1	-1	0	1	0	-1	-1	-2	-1	-2	-1	-2	-1	0	-1	-1	1	0	0	-1	0	-1	-1	-2	-1	-1	-1	0	0	-1
FAM138F	2	-2	-1	0	0	-1	-2	-2	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-2	1	-1	-1	-1	0	1	0	-1	-1	-2	-1	-2	-1	-2	-1	0	-1	-1	1	0	0	-1	0	-1	-1	-2	-1	-1	-1	0	0	-1
WASH7P	2	-2	-1	0	0	-1	-2	-2	-1	-1	-1	1	0	-2	0	0	-1	-1	-2	-1	0	-1	-2	-1	1	1	-1	-1	-2	-2	-2	-1	1	-1	0	-1	-1	1	0	0	-2	0	-2	-1	-2	0	1	-1	-2	0	-1
hsa-mir-1302-2	2	-2	-1	0	0	-1	-2	-2	-1	-1	-1	1	0	-2	0	0	-1	-1	-2	-1	0	-1	-2	-1	1	1	-1	-1	-2	-2	-2	-1	1	-1	0	-1	-1	1	0	0	-2	0	-2	-1	-2	0	1	-1	-2	0	-1
OR4F5	2	-2	-1	0	0	-1	-2	-2	-1	-1	-1	1	0	-2	0	0	-1	-1	-2	-1	0	-1	-2	-1	1	1	-1	-1	-2	-2	-2	-1	1	-1	0	-1	-1	1	0	0	-2	0	-2	-1	-2	0	1	-1	-2	0	-1
LOC729737	2	-2	-1	0	0	0	1	-2	-1	-1	-1	1	0	-2	0	0	-1	-1	-2	-1	0	-1	1	-1	1	1	-1	-1	-2	-1	1	-1	1	-1	0	-1	1	1	0	0	-2	0	1	0	1	0	1	-1	-2	0	1
LOC100132062	0	2	-1	0	0	0	1	0	0	2	0	1	0	1	1	2	0	-1	1	0	1	1	1	0	1	1	1	2	1	1	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	1	2	-1	0	0	1
LOC100132287	0	2	-1	0	0	0	1	0	0	2	0	1	0	1	1	2	0	-1	1	0	1	1	1	0	1	1	1	2	1	1	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	1	2	-1	0	0	1
LOC100133331	2	1	-1	0	0	0	1	0	0	2	0	1	0	1	1	2	0	-1	1	0	1	2	1	0	1	1	1	2	1	1	0	0	1	0	1	1	1	1	0	0	1	-1	0	0	1	1	2	-1	0	0	1
OR4F16	2	1	-1	0	0	0	1	0	0	2	-1	1	0	2	0	0	-1	0	2	-1	1	2	1	-1	1	1	1	2	1	1	0	1	1	0	1	0	1	1	0	0	1	-1	0	0	1	1	1	-1	-2	0	1
OR4F29	2	1	-1	0	0	0	1	0	0	2	-1	1	0	2	0	0	-1	0	2	-1	1	2	1	-1	1	1	1	2	1	1	0	1	1	0	1	0	1	1	0	0	1	-1	0	0	1	1	1	-1	-2	0	1
OR4F3	2	1	-1	0	0	0	1	0	0	2	-1	1	0	2	0	0	-1	0	2	-1	1	2	1	-1	1	1	1	2	1	1	0	1	1	0	1	0	1	1	0	0	1	-1	0	0	1	1	1	-1	-2	0	1
LOC100288069	2	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	2	1	-1	1	1	0	2	0	1	-2	0	2	-1	1	1	1	1	0	0	1	-1	-1	0	1	0	1	-1	-2	0	-1
LINC00115	2	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	2	1	-1	1	1	0	2	0	1	1	0	2	-1	1	2	1	-1	0	0	1	-1	-1	0	1	0	1	-1	-2	0	-1
LOC643837	2	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	1	1	-1	-2	1	0	2	0	1	1	0	2	-1	1	2	1	-1	0	0	1	-1	-1	0	1	0	1	-1	-2	0	-1
FAM41C	2	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	2	0	1	1	0	2	-1	1	2	1	-1	0	0	1	-1	-1	0	1	0	1	-1	-2	0	-1
LOC100130417	2	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
SAMD11	2	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
NOC2L	2	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
KLHL17	2	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
PLEKHN1	2	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
C1orf170	2	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
HES4	2	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
ISG15	2	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
AGRN	-1	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
C1orf159	-1	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
RNF223	-2	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
LOC254099	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
MIR200A	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
MIR200B	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
MIR429	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
TTLL10	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
hsa-mir-200a	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
hsa-mir-200b	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
hsa-mir-429	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
SDF4	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
TNFRSF18	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
TNFRSF4	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
B3GALT6	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
FAM132A	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
UBE2J2	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
SCNN1D	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
ACAP3	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	-1
CPSF3L	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	1
PUSL1	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	0
GLTPD1	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	1
TAS1R3	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	1
DVL1	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	1
MXRA8	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	1
AURKAIP1	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	1
CCNL2	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	1
ANKRD65	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	1
LOC148413	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	1
MRPL20	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	1
TMEM88B	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	1
ATAD3C	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	1
VWA1	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	1
ATAD3B	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	-1	0	-1	0	1	-1	-2	0	1
ATAD3A	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	1
TMEM240	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	1
SSU72	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	0	0	-1	0	2	-1	0	0	1	-1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	-1	-1	-2	0	1
C1orf233	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	-2	-1	-2	0	1
CDK11B	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-2	0	-1	0	2	-1	0	0	1	1	-2	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	-2	-1	-2	0	1
MIB2	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	-2	-1	-2	0	1
MMP23A	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-2	0	-1	0	2	-1	0	0	1	1	-2	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	-2	-1	-2	0	1
MMP23B	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	-2	-1	-2	0	1
SLC35E2B	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	-2	-1	-2	0	1
CDK11A	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-2	0	-1	0	2	-1	0	0	1	1	-2	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	-2	-1	-2	0	1
SLC35E2	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	-2	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	-2	-1	-2	0	0
NADK	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	-2	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	-1	-1	-2	0	-1
GNB1	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
CALML6	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
TMEM52	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
KIAA1751	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
GABRD	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
PRKCZ	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
C1orf86	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
SKI	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
MORN1	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
LOC100129534	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
RER1	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
PEX10	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
PLCH2	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
PANK4	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
HES5	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
LOC100133445	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
LOC115110	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
TNFRSF14	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
FAM213B	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
MMEL1	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	1	0	1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
TTC34	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	0	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	-1	-2	0	-1
ACTRT2	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
FLJ42875	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
PRDM16	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
MIR4251	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
hsa-mir-4251	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
ARHGEF16	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
MEGF6	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
MIR551A	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
hsa-mir-551a	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
TPRG1L	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
WRAP73	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
TP73	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
TP73-AS1	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
CCDC27	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
LOC388588	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
LRRC47	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
CEP104	0	-1	-1	0	0	0	0	0	0	1	-1	1	0	2	-1	0	-1	0	2	-1	0	0	1	0	0	-1	0	-1	0	-1	1	0	1	-1	1	1	1	-1	0	0	1	-1	0	0	-1	0	1	0	0	0	-1
